Year,Code      Age  Both sexes        Male      Female
1980,04    AZ   65       24274       11250       13024
1980,04    AZ   66       23856       11142       12714
1980,04    AZ   67       23790       10958       12832
1980,04    AZ   68       22196       10181       12015
1980,04    AZ   69       21792        9941       11851
1980,04    AZ   70       19894        9262       10632
1980,04    AZ   71       18915        8627       10288
1980,04    AZ   72       17932        8265        9667
1980,04    AZ   73       16558        7494        9064
1980,04    AZ   74       15098        6712        8386
1980,04    AZ   75       13748        6249        7499
1980,04    AZ   76       12703        5623        7080
1980,04    AZ   77       11101        4745        6356
1980,04    AZ   78       10224        4268        5956
1980,04    AZ   79        8733        3757        4976
1980,04    AZ   80        7875        3257        4618
1980,04    AZ   81        6632        2587        4045
1980,04    AZ   82        5872        2351        3521
1980,04    AZ   83        5392        2089        3303
1980,04    AZ   84        4592        1803        2789
1980,04    AZ   85       20317        7169       13148
1980,05    AR    0       37395       19218       18177
1980,05    AR    1       35049       17877       17172
1980,05    AR    2       34343       17579       16764
1980,05    AR    3       34922       17995       16927
1980,05    AR    4       33992       17512       16480
1980,05    AR    5       34952       17893       17059
1980,05    AR    6       34255       17637       16618
1980,05    AR    7       35352       18022       17330
1980,05    AR    8       35742       18196       17546
1980,05    AR    9       39028       20034       18994
1980,05    AR   10       38244       19606       18638
1980,05    AR   11       36716       18762       17954
1980,05    AR   12       35791       18349       17442
1980,05    AR   13       36495       18616       17879
1980,05    AR   14       38020       19489       18531
1980,05    AR   15       41655       21284       20371
1980,05    AR   16       43452       22117       21335
1980,05    AR   17       43644       22303       21341
1980,05    AR   18       41957       21243       20714
1980,05    AR   19       42974       21384       21590
1980,05    AR   20       40873       20047       20826
1980,05    AR   21       39396       19474       19922
1980,05    AR   22       38612       19052       19560
1980,05    AR   23       38185       18507       19678
1980,05    AR   24       37238       18196       19042
1980,05    AR   25       36856       17907       18949
1980,05    AR   26       36029       17613       18416
1980,05    AR   27       34934       17023       17911
1980,05    AR   28       32822       16122       16700
1980,05    AR   29       34485       16901       17584
1980,05    AR   30       33401       16254       17147
1980,05    AR   31       33346       16298       17048
1980,05    AR   32       33119       16263       16856
1980,05    AR   33       35313       17315       17998
1980,05    AR   34       26771       13322       13449
1980,05    AR   35       27481       13381       14100
1980,05    AR   36       27369       13322       14047
1980,05    AR   37       28589       13880       14709
1980,05    AR   38       25388       12320       13068
1980,05    AR   39       25343       12266       13077
1980,05    AR   40       24474       12033       12441
1980,05    AR   41       22910       11014       11896
1980,05    AR   42       22935       11322       11613
1980,05    AR   43       21776       10606       11170
1980,05    AR   44       22194       10819       11375
1980,05    AR   45       21677       10412       11265
1980,05    AR   46       21451       10515       10936
1980,05    AR   47       21782       10418       11364
1980,05    AR   48       20630        9755       10875
1980,05    AR   49       21629       10248       11381
1980,05    AR   50       21752       10320       11432
1980,05    AR   51       21186        9959       11227
1980,05    AR   52       21841       10262       11579
1980,05    AR   53       22519       10586       11933
1980,05    AR   54       22844       10755       12089
1980,05    AR   55       22903       10721       12182
1980,05    AR   56       22428       10278       12150
1980,05    AR   57       22571       10500       12071
1980,05    AR   58       22604       10326       12278
1980,05    AR   59       22922       10422       12500
1980,05    AR   60       23270       10814       12456
1980,05    AR   61       22352       10298       12054
1980,05    AR   62       21732        9954       11778
1980,05    AR   63       21276        9642       11634
1980,05    AR   64       21823       10040       11783
1980,05    AR   65       22329       10190       12139
1980,05    AR   66       21407        9900       11507
1980,05    AR   67       21524        9904       11620
1980,05    AR   68       20580        9282       11298
1980,05    AR   69       20283        9195       11088
1980,05    AR   70       19223        8624       10599
1980,05    AR   71       18229        8079       10150
1980,05    AR   72       17794        7765       10029
1980,05    AR   73       15827        6827        9000
1980,05    AR   74       15450        6499        8951
1980,05    AR   75       14240        5927        8313
1980,05    AR   76       13363        5520        7843
1980,05    AR   77       12089        4932        7157
1980,05    AR   78       11019        4431        6588
1980,05    AR   79       10161        4052        6109
1980,05    AR   80        8293        3324        4969
1980,05    AR   81        7207        2711        4496
1980,05    AR   82        6529        2479        4050
1980,05    AR   83        5984        2227        3757
1980,05    AR   84        5569        2075        3494
1980,05    AR   85       26629        9198       17431
1980,06    CA    0      385427      197283      188144
1980,06    CA    1      348835      178535      170300
1980,06    CA    2      334034      170994      163040
1980,06    CA    3      337480      172359      165121
1980,06    CA    4      322904      164812      158092
1980,06    CA    5      323844      165303      158541
1980,06    CA    6      311086      159175      151911
1980,06    CA    7      320671      164414      156257
1980,06    CA    8      323433      165612      157821
